viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.0002578,313.0,210000.0,L,2926,7387.541609163317,-81.0256157809023,-46.701057021221814,-5.616846110926984 m^-2 kg^-1 s^2 mol K,-1.836971765695463 m^-2 kg^-1 s^2 mol K,-28336.96827586158,-30910.968839511705,-16293.537991869276,-13719.537428219155,0.00013536302777091984,248.655031895098,212.52924875633485,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.0002581,313.0,210000.0,L,2926,7387.541609163317,-81.0256157809023,-46.701057021221814,-5.616846110926984 m^-2 kg^-1 s^2 mol K,-1.836971765695463 m^-2 kg^-1 s^2 mol K,-28336.96827586158,-30910.968839511705,-16293.537991869276,-13719.537428219155,0.00013536302777091984,248.655031895098,212.52924875633485,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.0002764,313.0,5860000.0,L,2926,7479.815849064649,-82.05534759666342,-47.62758010310963,-5.728281223987076 m^-2 kg^-1 s^2 mol K,-1.8734162671747259 m^-2 kg^-1 s^2 mol K,-28654.301975520968,-30473.287027472146,-15565.854455198838,-13746.86940324765,0.00013369313097795715,247.33698792173223,213.03340442311568,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.000277,313.0,5880000.0,L,2926,7480.127192120265,-82.05883991634082,-47.63072634523973,-5.728659629937598 m^-2 kg^-1 s^2 mol K,-1.8735400236447006 m^-2 kg^-1 s^2 mol K,-28655.36240697983,-30471.706316562013,-15563.288970501972,-13746.9450609198,0.0001336875663094904,247.332953346367,213.0351288102455,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.0003,313.0,14310000.0,L,2926,7603.329390812966,-83.45043767701992,-48.886495444702184,-5.87969393691983 m^-2 kg^-1 s^2 mol K,-1.9229353163229175 m^-2 kg^-1 s^2 mol K,-29069.302054972657,-29789.658610688675,-14488.185536496892,-13767.82898078087,0.0001315213308012528,245.93069359773986,213.730318677596,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.0003004,313.0,14320000.0,L,2926,7603.466931169299,-83.45200211508875,-48.88790947973712,-5.8798640062435945 m^-2 kg^-1 s^2 mol K,-1.9229909369576645 m^-2 kg^-1 s^2 mol K,-29069.757667116686,-29788.83307839217,-14486.91741123445,-13767.841999958966,0.00013151895169039883,245.92933163798384,213.73110942676306,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.00032629999999999996,313.0,23910000.0,L,2926,7727.641546040843,-84.87458628854998,-50.17580440058559,-6.034762161421606 m^-2 kg^-1 s^2 mol K,-1.973649888974664 m^-2 kg^-1 s^2 mol K,-29474.884250746265,-28983.223435327116,-13278.196657943825,-13769.85747336298,0.00012940558824345793,244.8644451443051,214.4590296222357,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.0003264,313.0,23950000.0,L,2926,7728.130101355425,-84.8802240445099,-50.18091651796932,-6.035377007818601 m^-2 kg^-1 s^2 mol K,-1.9738509725452684 m^-2 kg^-1 s^2 mol K,-29476.453103378266,-28979.811993043415,-13273.185122919023,-13769.826233253865,0.00012939740750800914,244.86087052345255,214.46195028900166,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.0003569,313.0,34290000.0,L,2926,7847.6008828848435,-86.2687362854277,-51.44187714294966,-6.187035711801134 m^-2 kg^-1 s^2 mol K,-2.023450472288711 m^-2 kg^-1 s^2 mol K,-29853.92980711338,-28086.868337284322,-11985.56079154108,-13752.622261370143,0.00012742747941997678,244.11761508798628,215.19020970899382,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.0003573,313.0,34290000.0,L,2926,7847.6008828848435,-86.2687362854277,-51.44187714294966,-6.187035711801134 m^-2 kg^-1 s^2 mol K,-2.023450472288711 m^-2 kg^-1 s^2 mol K,-29853.92980711338,-28086.868337284322,-11985.56079154108,-13752.622261370143,0.00012742747941997678,244.11761508798628,215.19020970899382,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.00038740000000000004,313.0,44630000.0,L,2926,7955.553752240217,-87.54077658446417,-52.6003218872682,-6.326364589387194 m^-2 kg^-1 s^2 mol K,-2.06901754128384 m^-2 kg^-1 s^2 mol K,-30184.028379750347,-27176.537706494168,-10712.636955779217,-13720.127629035396,0.00012569835251485898,243.65223757955175,215.87351525319355,-0.1128767755213143,-46.6714102706408,-46.558533495119484,-28244.30116266161,-30794.792671393938,7384.56954985585,0.00013541750717474391,14.494165460664867,0.06899327889652286,-0.06885786138934812,1.8425635062158108e-07,2.1884570620880658e-05,3.0390034683722334e-05,7.1572796443040725e-06,1.3886511739337661,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
