,viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0,0.0028690000000000005,293.63,101320.0,L,2665,10703.658637699427,-141.14487733606998,-93.02893670300509,-11.188809304391114 m^-2 kg^-1 s^2 mol K,-4.066439870758173 m^-2 kg^-1 s^2 mol K,-50693.64620814287,-53125.55594450378,-25809.4692604004,-23377.559524039487,9.342599888956599e-05,-0.021037423654650438,-93.0208806744497,-92.99984325079505,-50683.39990385049,-53123.23154627269,10702.684640245232,9.34345011194394e-05,0.27362732185793515,3.654605809134773,-3.6545123746336534,5.8590899243426975e-08,2.0154415567792716e-05,3.0155321451285178e-05,7.324882997562317e-06,1.4962141348059814,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
1,0.002545,298.21,101320.0,L,2665,10657.632743840319,-137.96206589373273,-91.61751236256971,-11.019053975002327 m^-2 kg^-1 s^2 mol K,-4.004744312194195 m^-2 kg^-1 s^2 mol K,-50265.41643317842,-52735.3655289399,-25414.107167298,-22944.158071536513,9.382946701536133e-05,-0.02515707792612769,-91.60937991991047,-91.58422284198434,-50253.34667988402,-52730.80273712518,10656.643386991576,9.383817809092558e-05,0.37602582961068615,2.6593917791108606,-2.6592979409327695,5.080313485450461e-07,2.0468039649163423e-05,3.038959072117082e-05,7.438865945543675e-06,1.4847338212193133,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
2,0.0022429999999999998,303.11,101320.0,L,2665,10608.145656041695,-134.56479825548485,-90.1098626337185,-10.837725391533864 m^-2 kg^-1 s^2 mol K,-3.9388425918712935 m^-2 kg^-1 s^2 mol K,-49800.537108157616,-52311.18272143943,-24997.982258533026,-22487.336645251195,9.426718226012162e-05,-0.03023072753794059,-90.10164691830234,-90.0714161907644,-49786.152769578664,-52303.73393583841,10607.139978966647,9.427611985727943e-05,0.5212916991749762,1.9183117659127373,-1.91821748979288,-8.23849859443726e-08,2.080228443775653e-05,3.063824481419815e-05,7.56034324468709e-06,1.472830779997853,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
3,0.001977,308.17,101320.0,L,2665,10556.724324167546,-131.06518643355406,-88.55581284859528,-10.650816164023452 m^-2 kg^-1 s^2 mol K,-3.870912652743395 m^-2 kg^-1 s^2 mol K,-49313.25674775884,-51865.92701865983,-24575.682173108224,-22023.01190220723,9.47263534873878e-05,-0.03626447593767592,-88.54751232169285,-88.51124784575518,-49296.02864638692,-51854.87581494514,10555.702244288907,9.473552558201833e-05,0.7203600769136076,1.3881946432741157,-1.3880999077485336,-4.507176072365837e-07,2.1145940882196303e-05,3.089291780896515e-05,7.685241098381357e-06,1.4609384364152485,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
4,0.0017569999999999999,313.11,101320.0,L,2665,10506.158673233827,-127.65703631598527,-87.04168004747362,-10.46870784618511 m^-2 kg^-1 s^2 mol K,-3.8047275472233726 m^-2 kg^-1 s^2 mol K,-48830.55273518499,-51424.25025826231,-24170.62981859785,-21576.932295520524,9.518226700189337e-05,-0.04300887481885262,-87.03330150940099,-86.99029263458213,-48810.03831467867,-51408.97157462227,10505.121451951143,9.519166480595686e-05,0.9751562251891006,1.0254767125196598,-1.0253815208548538,-7.094877219060436e-08,2.1479890227479965e-05,3.113954187101203e-05,7.806611022162443e-06,1.449706750883398,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
5,0.001564,318.14,101320.0,L,2665,10454.249947482589,-124.19549518163517,-85.50341164021862,-10.283696682156728 m^-2 kg^-1 s^2 mol K,-3.737487436727868 m^-2 kg^-1 s^2 mol K,-48332.087937822704,-50967.559322955014,-23765.50394373587,-21130.032558603558,9.565487768357812e-05,-0.05082290259677337,-85.49496325009866,-85.44414034750189,-48307.6359346198,-50947.139691914184,10453.198764755434,9.566449682097825e-05,1.3109351213481557,0.7628142565679433,-0.7627185920711224,-1.6207013686653227e-07,2.1818274232261062e-05,3.1388668119646655e-05,7.929592670274782e-06,1.4386411952433233,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
6,0.0013939999999999998,323.22,101320.0,L,2665,10401.339728548566,-120.70861183848331,-83.95377506641141,-10.097318241964594 m^-2 kg^-1 s^2 mol K,-3.669750405947517 m^-2 kg^-1 s^2 mol K,-47821.67263660839,-50499.332191198555,-23363.793014233055,-20686.133459642897,9.614146120574247e-05,-0.059769733285003054,-83.94527202199853,-83.88550228871352,-47792.5555278538,-50472.73261833896,10400.276682514334,9.615128813652326e-05,1.7462110721243338,0.5726684568455181,-0.5725723055573816,5.412130121840164e-08,2.215828003160647e-05,3.1638279817767316e-05,8.053163740362156e-06,1.4278310307766946,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
7,0.001247,328.36,101320.0,L,2665,10347.252822080669,-117.19002191167573,-82.39028573184218,-9.909273697611768 m^-2 kg^-1 s^2 mol K,-3.601407849395518 m^-2 kg^-1 s^2 mol K,-47298.23375155759,-50018.578725812185,-22964.90450290449,-20244.559528649897,9.664400949651443e-05,-0.06999380403867739,-82.38175148397366,-82.31175767993498,-47263.59894395792,-49984.56556650567,10346.181035244941,9.665402109178592e-05,2.306555819426447,0.43354684572457564,-0.43345019170348387,-1.8943137547466904e-07,2.250048280077805e-05,3.188885114683834e-05,8.177533273043086e-06,1.417251862068295,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
8,0.001121,333.36,101320.0,L,2665,10294.053511753878,-113.77664450262564,-80.87412408750977,-9.726921366022458 m^-2 kg^-1 s^2 mol K,-3.5351340599754524 m^-2 kg^-1 s^2 mol K,-46782.468798224945,-49544.335481004724,-22584.13747519247,-19822.270792412695,9.714346237448519e-05,-0.08116286347468715,-80.86559205324703,-80.78442918977234,-46741.5993956424,-49501.831742023605,10292.977541771908,9.7153617205683e-05,2.991197549940187,0.33431426153046845,-0.33421710791326276,-9.0149296738673e-07,2.2831588746874707e-05,3.2130722662058184e-05,8.29786979715599e-06,1.4072924586317448,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
9,0.002617,298.16,3140000.0,L,2665,10687.760833905264,-138.2638466699184,-91.87690406085535,-11.050251625433672 m^-2 kg^-1 s^2 mol K,-4.016082727760739 m^-2 kg^-1 s^2 mol K,-50349.33496324828,-52534.58113807909,-25140.56342329446,-22955.317248463645,9.356496796107703e-05,-0.02510896265573166,-91.62477799654852,-91.59966903389278,-50258.07619264019,-52735.122084698596,10657.147137100608,9.383374247679391e-05,0.3747481204784138,2.6684590138127238,-2.668365180070247,-4.992213007426471e-07,2.046462193756357e-05,3.0387042947398857e-05,7.437623818849198e-06,1.48485728395609,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
