,temperature,pressure,state,D,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0,303.15,100000.0,L,4.87e-10,10607.727230242153,-134.53698027504979,-90.09745760535392,-10.836233409558085 m^-2 kg^-1 s^2 mol K,-3.938300348739991 m^-2 kg^-1 s^2 mol K,-49796.677731494296,-52307.779984120985,-24994.73571105794,-22483.63345843126,9.427090066466311e-05,-0.030275160866288824,-90.08934963127149,-90.05907447040519,-49782.3088130284,-52300.21691150505,10606.734692733904,9.427972217359651e-05,0.5226546737271874,1.913309208293763,-1.9132149285715894,-3.173493041686015e-07,2.0805007201286532e-05,3.064026633998645e-05,7.561332800758325e-06,1.472735195116478,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
1,288.15,100000.0,L,3.3600000000000003e-10,10758.48453485518,-144.96251100176065,-94.720247118102,-11.39222719112311 m^-2 kg^-1 s^2 mol K,-4.140369686034203 m^-2 kg^-1 s^2 mol K,-51197.93928696623,-53584.45670096031,-26290.81749387921,-23904.300079885135,9.294989426812064e-05,-0.016821635383404823,-94.712382520118,-94.69556088473459,-51189.53553689409,-53584.226373551865,10757.541274862482,9.295804444987206e-05,0.1839364237897362,5.4366610995064955,-5.436568141462046,-1.0415874385216739e-08,1.9777760922286613e-05,2.9872602622179562e-05,7.187992339555375e-06,1.5104137793736576,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
2,293.15,100000.0,L,3.97e-10,10708.45847078522,-141.47874799888314,-93.17687195897032,-11.206601826019902 m^-2 kg^-1 s^2 mol K,-4.072906351451899 m^-2 kg^-1 s^2 mol K,-50738.13836097997,-53166.18466521939,-25851.38465044725,-23423.338346207816,9.338412272207028e-05,-0.02063821065559597,-93.1689292776166,-93.14829106696101,-50728.099754971285,-53163.98241785114,10707.498825424587,9.339249215003736e-05,0.26446872994979176,3.7811653581496976,-3.7810719656575476,6.525147000502329e-07,2.0121482860621193e-05,3.0130663762080233e-05,7.312913996227946e-06,1.4974375383162013,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
3,298.15,100000.0,L,4.560000000000001e-10,10658.224038328692,-138.00359874663042,-91.63588218519175,-11.021263356830795 m^-2 kg^-1 s^2 mol K,-4.00554728578259 m^-2 kg^-1 s^2 mol K,-50271.03096756367,-52740.60557100951,-25419.367297494595,-22949.79269404875,9.382426156588928e-05,-0.025099348178603317,-91.62785764258989,-91.60275829441129,-50259.022003552476,-52735.98586093386,10657.247883971662,9.383285543202806e-05,0.3744930349733,2.6702766316369444,-2.6701827987815125,-5.215781584411161e-08,2.0463938378580196e-05,3.0386533367010145e-05,7.4373753874541874e-06,1.484881981408624,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
4,303.15,100000.0,L,5.42e-10,10607.727230242153,-134.53698027504979,-90.09745760535392,-10.836233409558085 m^-2 kg^-1 s^2 mol K,-3.938300348739991 m^-2 kg^-1 s^2 mol K,-49796.677731494296,-52307.779984120985,-24994.73571105794,-22483.63345843126,9.427090066466311e-05,-0.030275160866288824,-90.08934963127149,-90.05907447040519,-49782.3088130284,-52300.21691150505,10606.734692733904,9.427972217359651e-05,0.5226546737271874,1.913309208293763,-1.9132149285715894,-3.173493041686015e-07,2.0805007201286532e-05,3.064026633998645e-05,7.561332800758325e-06,1.472735195116478,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
