Unnamed: 0,id,temperature,unc_t,pressure,unc_p,density,unc_rho,value,uncertainty,unit,property,type,database,phase,const_value,const_prop,quality,note,substance_id,reference_id,id_1,ddbnr,cas,common_name,iupac_name,iupac_name_source,inchi_key,canonical_smiles,isomeric_smiles,inchi,formula,family,source,id_2,database_refID,database_1,title,authors,year,pages,volume,issue,journal
54977,56458,323.51,0.5,99540000.0,298620.0,,,0.0005578,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54978,56459,323.55,0.5,99540000.0,298620.0,,,0.0005492,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54979,56460,368.62,0.5,10100000.0,30300.0,,,0.000299,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54980,56461,368.48,0.5,10180000.0,30540.0,,,0.0003002,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54981,56462,368.3,0.5,10180000.0,30540.0,,,0.000303,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54982,56463,373.8,0.5,11470000.0,34410.0,,,0.0002816,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54983,56464,373.73,0.5,11470000.0,34410.0,,,0.00028,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54984,56465,373.75,0.5,11370000.0,34110.0,,,0.0002823,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54985,56466,373.12,0.5,49160000.0,147480.0,,,0.0002945,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54986,56467,372.83,0.5,97510000.0,292530.0,,,0.0003015999999999,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
