viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.0005443,323.32,5790000.0,Liquid,84795,56084.66080464599,-113.23614877816361,-53.60630631992458,-6.447356706239097 m^-2 kg^-1 s^2 mol K,-2.7210006863274208 m^-2 kg^-1 s^2 mol K,-39957.30977239964,-42542.30504233633,-25210.31408297831,-22625.31881304162,1.7830187178686854e-05,-0.4163557779870523,-53.52831846957819,-53.11196269159114,-39768.61302559585,-42432.09671774985,55996.64068890335,1.7858214130301683e-05,4.648572603007541,0.21511979814040513,-0.21510193992627483,-3.116145308013074e-06,3.2552156282852534e-05,4.4041157655655235e-05,1.373810130613153e-05,1.352941331227718,0.018011,2.36948,2.1507200000000003e-10,230.71557,8.31446261815324,1
0.0005448,323.25,5840000.0,Liquid,84795,56088.86953789247,-113.24794214351374,-53.61595422794102,-6.44851708285747 m^-2 kg^-1 s^2 mol K,-2.7214904041635593 m^-2 kg^-1 s^2 mol K,-39960.622718573104,-42544.152280228904,-25212.795076046965,-22629.265514391165,1.7828849257238477e-05,-0.4157292773651954,-53.53730279783025,-53.121573520465056,-39771.96654812837,-42434.91878592173,56000.116987123176,1.785710555265345e-05,4.633488630051927,0.21582010442718905,-0.2158022473216364,-2.6430643629282713e-07,3.254554587655358e-05,4.403638985917217e-05,1.373531149305062e-05,1.3530696343580708,0.018011,2.36948,2.1507200000000003e-10,230.71557,8.31446261815324,1
0.0005629,322.85,6690000.0,Liquid,84795,56121.42709006491,-113.32419406082174,-53.67868756544872,-6.456062169099211 m^-2 kg^-1 s^2 mol K,-2.724674683516726 m^-2 kg^-1 s^2 mol K,-39982.382591541944,-42547.50104092431,-25217.33676041919,-22652.218311036828,1.7818506261346095e-05,-0.41215987499855417,-53.588681755446125,-53.176521880447574,-39791.12279937184,-42451.036644993146,56019.980191350194,1.7850773895032646e-05,4.548089197323243,0.21987255671866449,-0.21985470594476944,2.3981574486242607e-06,3.250776195799787e-05,4.400913539896641e-05,1.3719365412663483e-05,1.3538039147643894,0.018011,2.36948,2.1507200000000003e-10,230.71557,8.31446261815324,1
0.000552,323.26,10250000.0,Liquid,84795,56154.83858108296,-113.31522007411215,-53.67367619269139,-6.45545943949569 m^-2 kg^-1 s^2 mol K,-2.7244203114167203 m^-2 kg^-1 s^2 mol K,-39982.27249475294,-42487.474660058615,-25136.922094009195,-22631.719928703533,1.780790445254477e-05,-0.4158187436264679,-53.5360191950636,-53.120200451437135,-39771.487495017245,-42434.51565969109,55999.62037747818,1.7857263911063547e-05,4.63564093603949,0.2157199001815617,-0.21570204291765063,2.3741631594020873e-07,3.254649025274108e-05,4.4037071004559476e-05,1.3735710051463227e-05,1.3530513017713377,0.018011,2.36948,2.1507200000000003e-10,230.71557,8.31446261815324,1
0.0005571,323.35,10250000.0,Liquid,84795,56150.42493417518,-113.30107799050228,-53.662143917574866,-6.454072425608426 m^-2 kg^-1 s^2 mol K,-2.723834945054791 m^-2 kg^-1 s^2 mol K,-39978.34711260393,-42484.28323188042,-25132.628996132582,-22626.692876856094,1.780930422471948e-05,-0.41662444738464877,-53.52446867951626,-53.10784423213161,-39767.17569392446,-42430.887128077666,55995.150824816315,1.7858689284158746e-05,4.655049911434808,0.214820467884473,-0.21480260919518884,-1.6917711036512628e-06,3.255498915199457e-05,4.404320083900707e-05,1.3739296871885214e-05,1.352886362006625,0.018011,2.36948,2.1507200000000003e-10,230.71557,8.31446261815324,1
0.0005565,323.46,10250000.0,Liquid,84795,56145.03035923478,-113.28379775125264,-53.64805362413987,-6.452377752833756 m^-2 kg^-1 s^2 mol K,-2.723119736327699 m^-2 kg^-1 s^2 mol K,-39973.54943227258,-42480.38260295651,-25127.383177692223,-22620.5500070083,1.7811015393556007e-05,-0.41761043663426956,-53.51035604698779,-53.09274561035352,-39761.904924225884,-42426.45128825405,55989.687876205666,1.7860431767560844e-05,4.678865630550347,0.21372701824787732,-0.21370915781610975,-1.6058893379522488e-06,3.256537550686917e-05,4.40506917005038e-05,1.3743680261858791e-05,1.3526848996785552,0.018011,2.36948,2.1507200000000003e-10,230.71557,8.31446261815324,1
0.000554,323.48,25150000.0,Liquid,84795,56364.494646132094,-113.50950324428771,-53.84175697806429,-6.475674911389921 m^-2 kg^-1 s^2 mol K,-2.732951918306937 m^-2 kg^-1 s^2 mol K,-40045.47473056984,-42288.83421546648,-24872.10266820224,-22628.7431833056,1.774166532101824e-05,-0.41778985396295537,-53.50779066465258,-53.090000810689624,-39760.946508930356,-42425.64465741861,55988.69459354475,1.7860748625407235e-05,4.6832068533691125,0.21352889831902197,-0.21351103757039655,-2.3589855118189007e-06,3.256726379460047e-05,4.405205353846807e-05,1.3744477182588784e-05,1.352648285600577,0.018011,2.36948,2.1507200000000003e-10,230.71557,8.31446261815324,1
0.0005586,323.48,50230000.0,Liquid,84795,56721.542836323104,-113.88207431778278,-54.16182512969774,-6.5141702617610475 m^-2 kg^-1 s^2 mol K,-2.749198246771886 m^-2 kg^-1 s^2 mol K,-40161.798782707374,-41965.80695905199,-24445.539766097365,-22641.53158975275,1.7629985892408134e-05,-0.41778985396295537,-53.50779066465258,-53.090000810689624,-39760.946508930356,-42425.64465741861,55988.69459354475,1.7860748625407235e-05,4.6832068533691125,0.21352889831902197,-0.21351103757039655,-2.3589855118189007e-06,3.256726379460047e-05,4.405205353846807e-05,1.3744477182588784e-05,1.352648285600577,0.018011,2.36948,2.1507200000000003e-10,230.71557,8.31446261815324,1
0.0005517,323.46,50190000.0,Liquid,84795,56721.92334303698,-113.88461210682436,-54.163872385131,-6.51441648999338 m^-2 kg^-1 s^2 mol K,-2.749302163341062 m^-2 kg^-1 s^2 mol K,-40162.4731120876,-41967.02613443295,-24447.17997273847,-22642.62695039313,1.762986762547355e-05,-0.41761043663426956,-53.51035604698779,-53.09274561035352,-39761.904924225884,-42426.45128825405,55989.687876205666,1.7860431767560844e-05,4.678865630550347,0.21372701824787732,-0.21370915781610975,-1.6058893379522488e-06,3.256537550686917e-05,4.40506917005038e-05,1.3743680261858791e-05,1.3526848996785552,0.018011,2.36948,2.1507200000000003e-10,230.71557,8.31446261815324,1
0.0005505999999999,323.55,99520000.0,Liquid,84795,57375.18124278514,-114.56285127172987,-54.74885877349468,-6.584774180589819 m^-2 kg^-1 s^2 mol K,-2.778995467608851 m^-2 kg^-1 s^2 mol K,-40367.58245031631,-41323.178932803974,-23609.185676639772,-22653.589194152108,1.7429138842602765e-05,-0.41841816969769063,-53.49881316040338,-53.08039499070569,-39757.59182854157,-42422.821171775286,55985.21805723796,1.786185773140374e-05,4.6984280669961915,0.21283714164412482,-0.21281927978639342,1.464404704165645e-06,3.257387246150298e-05,4.405681963983936e-05,1.374726626158608e-05,1.352520173703859,0.018011,2.36948,2.1507200000000003e-10,230.71557,8.31446261815324,1
