thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
0.1187,301.72,23080000.0,Liquid,51298,10366.894446418464,-81.29469517692215,-36.620786428792115,-4.404468227307529 m^-2 kg^-1 s^2 mol K,-1.889043864265581 m^-2 kg^-1 s^2 mol K,-20111.419136346023,-20393.74115538074,-9344.51747408558,-9062.195455050864,9.646090303788886e-05,169.60633389411566,141.75762992403523,-0.4483946189667775,-33.33900062910423,-32.890606010137446,-18717.526743589002,-21020.318068917637,9753.460828113532,0.00010252770966358772,116.98411419080085,0.008548169184484332,-0.008445641474820744,-1.798616722226143e-08,1.8709640708239976e-05,2.5703787014536943e-05,8.024426595561979e-06,1.373825794699342,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,44395.30802375587,43862.43647324861,46371.07613439781,977.0063533570703,1
0.1215,301.73,27320000.0,Liquid,51298,10455.37221709423,-81.85010992550306,-37.10963235734836,-4.463262878388036 m^-2 kg^-1 s^2 mol K,-1.9142604554959741 m^-2 kg^-1 s^2 mol K,-20259.688212623023,-20155.400268256708,-8958.310897073987,-9062.598841440302,9.564461018088185e-05,168.98306570277086,142.0204044417376,-0.4485033307670886,-33.33742808741835,-32.888924756651264,-18716.918498143994,-21019.738281509253,9753.264222140557,0.00010252977641371939,117.0176287105304,0.008545720939822891,-0.008443191163409173,-3.521563485264778e-08,1.871022864699122e-05,2.5704212965319804e-05,8.024678758146266e-06,1.3738053901042668,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,46614.79545392299,46827.70660652579,49336.42941230117,1004.9768702810982,1
0.1369,301.74,58890000.0,Liquid,51298,10988.71266237016,-85.29942337764666,-40.14936995212854,-4.82885927762416 m^-2 kg^-1 s^2 mol K,-2.0710620485901696 m^-2 kg^-1 s^2 mol K,-21107.030708522787,-18256.701170591557,-6142.0302812362925,-8992.359819167521,9.100247050998142e-05,166.49433682045125,143.7047566505917,-0.448612061498919,-33.335855587516896,-32.887243526017976,-18716.31022842107,-21019.15845913483,9753.067608197733,0.00010253184333096096,117.05115069407212,0.008543273552377332,-0.00844074170904637,1.6298145055770874e-09,1.8710816578532767e-05,2.5704638909044245e-05,8.024930917638365e-06,1.3737849869436274,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,58331.923151179166,67270.92693580751,69779.73288620907,1179.3828315314634,1
0.1148,301.75,16590000.0,Liquid,51298,10218.930590862004,-80.35177633062364,-35.80966573551639,-4.306912831303369 m^-2 kg^-1 s^2 mol K,-1.8472030760621176 m^-2 kg^-1 s^2 mol K,-19858.211709808842,-20743.643256858417,-9938.076621166347,-9052.645074116772,9.785759782870258e-05,170.82437513771896,141.34003190429925,-0.4487208111644513,-33.33428312939076,-32.88556231822631,-18715.701934415356,-21018.578601788133,9752.870986283644,0.00010253391041534248,117.08468014267558,0.00854082702178827,-0.008438293111372928,1.695007085800171e-07,1.871140450286488e-05,2.5705064845710617e-05,8.025183074038392e-06,1.373764585217264,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,40624.58517988331,39166.206613722985,41675.09570875073,930.9076938980572,1
0.1175,301.78,20490000.0,Liquid,51298,10308.999712354245,-80.90193668475443,-36.299136600103765,-4.365782644912091 m^-2 kg^-1 s^2 mol K,-1.8724519039452505 m^-2 kg^-1 s^2 mol K,-20012.1061349639,-20533.660943652896,-9579.307500473586,-9057.752691784588,9.700262177732005e-05,170.06285064788398,141.60413481667612,-0.4490471737851169,-33.329566005573106,-32.88051883178799,-18713.87690665312,-21016.838819852732,9752.281072699729,0.00010254011267162643,117.1853132913477,0.008533492567569339,-0.008430952454897712,4.7730281949043274e-08,1.8713168232607317e-05,2.5706342613364855e-05,8.025939524687194e-06,1.3737033886422327,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,42930.292253741325,41995.59411517681,44504.732644083095,958.9497427428921,1
0.1111,301.78,10970000.0,Liquid,51298,10076.289331538761,-79.45147192952838,-35.03850931172672,-4.214164032107859 m^-2 kg^-1 s^2 mol K,-1.8074238016988686 m^-2 kg^-1 s^2 mol K,-19609.236177389732,-21029.680283274254,-10455.758943181365,-9035.31483729684,9.92428826820209e-05,172.22803664650257,140.94990383508053,-0.4490471737851169,-33.329566005573106,-32.88051883178799,-18713.87690665312,-21016.838819852732,9752.281072699729,0.00010254011267162643,117.1853132913477,0.008533492567569339,-0.008430952454897712,4.7730281949043274e-08,1.8713168232607317e-05,2.5706342613364855e-05,8.025939524687194e-06,1.3737033886422327,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,36967.53285176867,34930.769814715095,37439.90834362138,887.1823859638329,1
0.1399,301.8,65080000.0,Liquid,51298,11074.445488150548,-85.83906228481777,-40.64893722613173,-4.888943410170799 m^-2 kg^-1 s^2 mol K,-2.096831688889365 m^-2 kg^-1 s^2 mol K,-21233.64091578622,-17866.353531686604,-5598.504276840049,-8965.791660939665,9.029797483494605e-05,166.27304831719786,144.00898259812192,-0.449264843574132,-33.326421465070446,-32.87715662149631,-18712.660099975445,-21015.678790254246,9751.8877570949,0.00010254424834539946,117.25243940534719,0.008528607209125544,-0.008426062960780144,5.948822945356369e-08,1.8714344016393383e-05,2.5707194423183783e-05,8.026443809661484e-06,1.3736625980939972,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,59751.949206790225,71005.15568727256,73514.46050543121,1208.4495226371062,1
0.1075,301.83,5869000.0,Liquid,51298,9931.355013928998,-78.53668262109164,-34.26463473984026,-4.121088314839392 m^-2 kg^-1 s^2 mol K,-1.7675043145907514 m^-2 kg^-1 s^2 mol K,-19351.42730601399,-21270.02493715015,-10927.930233624162,-9009.332602488004,0.00010069119456483758,173.92866447115074,140.56984031560432,-0.4495914903642085,-33.32170496719767,-32.87211347683346,-18710.834707607606,-21013.93848327027,9751.297723836076,0.00010255045311103563,117.35318462367015,0.008521285580845668,-0.008418735127734632,2.3166649043560028e-08,1.8716107638014524e-05,2.5708472084993332e-05,8.027200213937861e-06,1.3736014230211269,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,33282.550285848476,30912.15609679987,33421.71034883706,843.4897895042269,1
0.132,301.83,48360000.0,Liquid,51298,10829.204225101481,-84.20931286271669,-39.21765111681304,-4.716799259063099 m^-2 kg^-1 s^2 mol K,-2.0230003349921892 m^-2 kg^-1 s^2 mol K,-20860.89138155574,-18904.74353815139,-7067.679901563709,-9023.827744968059,9.234288865677283e-05,167.05256686603735,143.20149841147375,-0.4495914903642085,-33.32170496719767,-32.87211347683346,-18710.834707607606,-21013.93848327027,9751.297723836076,0.00010255045311103563,117.35318462367015,0.008521285580845668,-0.008418735127734632,2.3166649043560028e-08,1.8716107638014524e-05,2.5708472084993332e-05,8.027200213937861e-06,1.3736014230211269,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,55256.67070558539,60693.74489923418,63203.29915127138,1126.2859297822965,1
0.1055,301.86,3196000.0,Liquid,51298,9848.10288847561,-78.01472226751726,-33.824937882384,-4.0682049382882415 m^-2 kg^-1 s^2 mol K,-1.7448230253090562 m^-2 kg^-1 s^2 mol K,-19201.422342499365,-21386.696518905228,-11176.300769728794,-8991.02659332293,0.00010154239972149501,175.05007581048002,140.35695603243892,-0.4499183077346251,-33.316988844563014,-32.867070536828386,-18709.00909630153,-21012.19786103381,9750.707618721364,0.00010255665938336613,117.45399712880251,0.008513971635238425,-0.008411414975855059,9.057112038135529e-08,1.8717871194772614e-05,2.5709749683308695e-05,8.027956590394956e-06,1.3735402608438034,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,31195.84306724466,28728.002584719583,31237.806270635323,818.7106382733813,1
