thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
0.09216,375.54,15280000.0,Liquid,51298,8898.019652955594,-40.38742322194649,-26.13754652401386,-3.1436242754819648 m^-2 kg^-1 s^2 mol K,-1.3482772136571264 m^-2 kg^-1 s^2 mol K,-16432.788868310745,-17837.96612360515,-8022.271901976985,-6617.094646682578,0.00011238455735123454,194.46195050093408,155.9545690846741,-1.990991704689495,-22.216438693453533,-20.225446988764038,-13096.832844212513,-15201.097958445509,7941.597082228006,0.00012591925649789465,695.0965007834524,0.001438649164357592,-0.0013127299078596973,-6.868503987789154e-08,2.2874963504526284e-05,2.867630331613787e-05,9.810902752258026e-06,1.253610888186277,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,20228.76156294439,18050.77789323535,21173.191184856616,673.9651118894544,1
0.1224,375.68,65630000.0,Liquid,51298,10278.040945575378,-47.857502821153055,-32.462408336100744,-3.904330300941458 m^-2 kg^-1 s^2 mol K,-1.6745384047345702 m^-2 kg^-1 s^2 mol K,-18725.615746071264,-15463.734943783904,-3268.257380077575,-6530.138182364936,9.729480601363947e-05,182.11185327018882,159.07669419190913,-1.996036157002011,-22.19477370145416,-20.19873754445215,-13082.634938551913,-15185.428838778667,7937.03615338389,0.00012599161458697126,697.2154306025071,0.0014342769194534864,-0.001308285304866515,5.634501576423645e-08,2.288256711791095e-05,2.8681648030907387e-05,9.814163885831768e-06,1.2534278992000554,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,42499.89066554173,52429.96025951979,55553.5375759076,1046.03851870146,1
0.1062,375.71,36610000.0,Liquid,51298,9643.347619092936,-44.30676609189727,-29.45312514109169,-3.54239672408722 m^-2 kg^-1 s^2 mol K,-1.5193077690838852 m^-2 kg^-1 s^2 mol K,-17714.997105327628,-17042.424363832917,-5976.59071707336,-6649.16345856807,0.00010369842916583164,185.95878361725556,157.58109831404354,-1.9971187715710763,-22.19012991093129,-20.193011139360213,-13079.589655428359,-15182.067514733346,7936.057891893607,0.00012600714531347653,697.6703224837474,0.0014333417486355748,-0.0013073346033220983,8.847564458847046e-09,2.2884196330795818e-05,2.8682793197357254e-05,9.814862643194725e-06,1.2533887047087653,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,32248.384960483734,33738.33811968732,36862.164869953674,865.1127134519196,1
0.08808,375.75,10540000.0,Liquid,51298,8645.745186310745,-38.98941333778458,-25.059024096029148,-3.0139078431018445 m^-2 kg^-1 s^2 mol K,-1.2926427946907575 m^-2 kg^-1 s^2 mol K,-15979.803962397278,-17884.86652473943,-8468.93822065648,-6563.875658314325,0.0001156638298319677,199.0175340753589,155.51045800922057,-1.9985631710584528,-22.18393747834053,-20.185374307282075,-13075.527696568624,-15177.583738696745,7934.7530373664495,0.0001260278669406327,698.2773046112806,0.0014320958069182607,-0.001306067939977628,1.3969838619232178e-09,2.2886368541722023e-05,2.86843200148393e-05,9.815794288403697e-06,1.2533364549534178,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,16690.619327777604,14042.170988593627,17166.330317364707,614.7953748482262,1
0.1183,375.86,57150000.0,Liquid,51298,10115.668413359012,-46.86381318017841,-31.669985570400975,-3.8090237487212764 m^-2 kg^-1 s^2 mol K,-1.6336621290062971 m^-2 kg^-1 s^2 mol K,-18473.823684571085,-15949.246225333021,-4045.7654488421076,-6570.342908080172,9.885654206294212e-05,182.91998249938484,158.72073221802415,-2.0025406610141667,-22.166904081317405,-20.16436342030324,-13064.347975467064,-15165.24148752991,7931.161701319651,0.00012608493404359816,699.9492185859204,0.0014286750716291394,-0.0013025901375855412,9.778887033462524e-08,2.2892341692119068e-05,2.868851834392836e-05,9.81835612845465e-06,1.2531928244721549,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,40050.95274824273,47139.57665578782,50264.6505754469,998.3229826647096,1
0.08425,375.89,6694000.0,Liquid,51298,8392.318530057213,-37.63477557314315,-24.005306347755962,-2.88717472796671 m^-2 kg^-1 s^2 mol K,-1.238287898437677 m^-2 kg^-1 s^2 mol K,-15520.608217675539,-17848.297404203728,-8824.94280114574,-6497.25361461755,0.00011915658306086514,204.94915755145541,155.0675703561397,-2.0036268056097897,-22.162257535288308,-20.158630729678517,-13061.296580679575,-15161.872393568205,7930.181484646586,0.00012610051887665792,700.4058869251497,0.001427743567933299,-0.001301643049056641,9.848736226558685e-08,2.2893970623785965e-05,2.8689663236145243e-05,9.819054765205299e-06,1.2531536668583725,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,13479.848260800016,10558.09432789872,13683.41768143634,557.809438361844,1
0.1015,375.9,28340000.0,Liquid,51298,9396.488126603723,-42.88634637997964,-28.321008879756587,-3.406234435154281 m^-2 kg^-1 s^2 mol K,-1.4609087698906584 m^-2 kg^-1 s^2 mol K,-17296.56252859441,-17405.948613795357,-6760.081375894857,-6650.695290693913,0.00010642273863665713,188.19021509866357,157.08184672134692,-2.003988984903119,-22.16070858406574,-20.15671959916262,-13060.279222108153,-15160.74907373033,7929.85467313984,0.00012610571583199622,700.5581756851035,0.0014274332021349413,-0.001301327486302945,1.3504177331924438e-07,2.2894513590595123e-05,2.869004485673142e-05,9.819287639656063e-06,1.253140615685194,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,28106.926491170656,27891.98272377574,31017.389221939542,799.5840622971922,1
0.08073,376.04,3870000.0,Liquid,51298,8157.778795530477,-36.39060080237351,-23.054184403525337,-2.7727810518012763 m^-2 kg^-1 s^2 mol K,-1.1892252963438947 m^-2 kg^-1 s^2 mol K,-15092.279844091045,-17744.456528085684,-9075.161024984018,-6422.984340989378,0.00012258238732188776,212.1610132015059,154.68110961235814,-2.0090663888509086,-22.13901786750763,-20.12995147865672,-13046.02426601802,-15145.007424951207,7925.275493235992,0.00012617857901008904,702.6936882543835,0.0014230951789024583,-0.0012969165998923692,-5.2619725465774536e-08,2.2902114579307754e-05,2.8695387012043844e-05,9.82254764752737e-06,1.2529579708753338,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,10835.03640383102,7780.445550884011,10907.016073814357,507.3330047656648,1
0.09668,376.09,21000000.0,Liquid,51298,9133.27623367199,-41.399011339461865,-27.142580503354072,-3.2645020790751746 m^-2 kg^-1 s^2 mol K,-1.4001208100731324 m^-2 kg^-1 s^2 mol K,-16839.84937524327,-17667.55117367352,-7459.498072167089,-6631.796273736836,0.00010948973560147702,191.1675002243871,156.5693865762049,-2.010882871773643,-22.131268732475142,-20.1203858607015,-13040.927800597805,-15139.378532397952,7923.63834101748,0.00012620464955138136,703.4579440528937,0.0014215490896848967,-0.0012953444401335153,-7.404014468193054e-08,2.290482897089265e-05,2.8697294683648455e-05,9.823711830012981e-06,1.2528927729657726,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,23852.526051476878,22416.21208700207,25543.198333063323,732.5161973867987,1
0.1117,376.13,45620000.0,Liquid,51298,9864.289679024061,-45.34686407894297,-30.465547112111683,-3.664163098838793 m^-2 kg^-1 s^2 mol K,-1.5715324671012747 m^-2 kg^-1 s^2 mol K,-18071.230148833616,-16573.78616893645,-5114.779933657887,-6612.22391355505,0.00010137577388126102,184.42880191182223,158.18829972735094,-2.012337244586649,-22.125068492351517,-20.112731247764867,-13036.84857390467,-15134.87280778232,7922.32796192363,0.0001262255242153834,704.0699459909866,0.0014203134300704858,-0.0012940879058551025,9.313225746154785e-10,2.2907000390485495e-05,2.8698820729631116e-05,9.824643135824925e-06,1.25284062690073,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,35971.68690037933,39683.59112833156,42810.909952897535,926.6813268400279,1
0.07734,376.17,1646000.0,Liquid,51298,7923.781710524519,-35.17432008859434,-22.12960663696702,-2.6615799063971637 m^-2 kg^-1 s^2 mol K,-1.1415319470940224 m^-2 kg^-1 s^2 mol K,-14663.30964166024,-17583.231950198486,-9258.7378215706,-6338.815513032354,0.00012620236605859306,221.80420542669822,154.3083436682984,-2.01379267330552,-22.118867421949236,-20.105074748643716,-13032.7675189117,-15130.364760007027,7921.0169978267095,0.00012624641510987418,704.682479524139,0.0014190788462277143,-0.00129283243111784,2.584420144557953e-08,2.2909171726819766e-05,2.870034669447133e-05,9.82557440592788e-06,1.2527884917319745,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,8505.834040163974,5391.9793718166175,8519.63077488732,459.01466292054096,1
0.08692,390.63,13260000.0,Liquid,51298,8476.56253556805,-32.0236218463038,-23.9194934422246,-2.876853807725394 m^-2 kg^-1 s^2 mol K,-1.233861332039819 m^-2 kg^-1 s^2 mol K,-15507.801360707908,-17191.366535745758,-7847.694812409561,-6164.129637371711,0.00011797234973539729,202.26787126045878,158.85939530279643,-2.620308897699147,-19.807838799465777,-17.18752990176663,-11418.386087747764,-13325.359367112933,7402.475369164931,0.0001350899462854693,966.7749358089228,0.0010343669068781525,-0.0008992769605926833,3.864988684654236e-08,2.3688707761677324e-05,2.9246766729584117e-05,1.0159911648842172e-05,1.2346290487359721,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,15621.849439927542,13127.409269060307,16375.287801589508,598.931919612246,1
0.08297,390.67,9148000.0,Liquid,51298,8192.563814485657,-30.59011025492139,-22.784461689478935,-2.7403408657744 m^-2 kg^-1 s^2 mol K,-1.1753119403592232 m^-2 kg^-1 s^2 mol K,-14999.090875303125,-17130.67961913315,-8229.47397090441,-6097.885227074389,0.00012206191158765868,208.59766234144485,158.36323073226504,-2.622246652016875,-19.80120549436293,-17.178958842346056,-11413.471584403977,-13319.804649038608,7400.8966043971795,0.0001351187637732783,967.6318808506625,0.0010334508605905814,-0.0008983320968173031,1.0989606380462646e-07,2.3690849341597828e-05,2.9248264106542373e-05,1.0160830156639226e-05,1.2345806469330123,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,12398.59963378807,9534.24458023286,12782.455691266787,538.2210497205944,1
0.07924,390.74,6073000.0,Liquid,51298,7917.971927120093,-29.213907396885617,-21.71820528899589,-2.612099697408924 m^-2 kg^-1 s^2 mol K,-1.1203102512233836 m^-2 kg^-1 s^2 mol K,-14503.611676499233,-16985.415467812447,-8499.24393319019,-6017.4401418769785,0.00012629496659048118,216.8049328764301,157.9144987626551,-2.625641784387654,-19.789593252323694,-17.16395146793604,-11404.86422027276,-13310.075210938032,7398.131514747089,0.00013516926510520215,969.1335996325445,0.0010318494791421522,-0.00089668021403695,1.4062970876693726e-07,2.3694596911334817e-05,2.9250884331775542e-05,1.0162437461596877e-05,1.2344959672127935,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,9680.413220330991,6612.694303000068,9861.487426417265,482.637183749204,1
0.07592,390.83,3588000.0,Liquid,51298,7623.0917193530995,-27.754177214599014,-20.608093219433698,-2.478583904441325 m^-2 kg^-1 s^2 mol K,-1.0630463145864337 m^-2 kg^-1 s^2 mol K,-13969.691503111973,-16748.557756975268,-8694.296684023993,-5915.430430160699,0.00013118037101157438,229.1445552166284,157.4620505828922,-2.630014570855915,-19.774655801168418,-17.1446412303125,-11393.78451768449,-13297.549659846218,7394.572178835614,0.00013523432807406377,971.0682524575182,0.001029793732283249,-0.0008945594042091853,3.5390257835388184e-08,2.3699414850409882e-05,2.9254252847944047e-05,1.0164503840051313e-05,1.2343871370916186,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,7188.339261750914,4006.9721074017407,7256.513532454572,426.2425618303472,1
0.1017,390.84,33230000.0,Liquid,51298,9329.137589988255,-36.3368924342634,-27.515399144542716,-3.309341855054762 m^-2 kg^-1 s^2 mol K,-1.4193522585290708 m^-2 kg^-1 s^2 mol K,-16988.523005211147,-16676.189175256168,-5922.070573603092,-6234.404403558074,0.00010719104422612112,190.8424488235466,160.57500548882084,-2.630500966065493,-19.77299556731032,-17.142494601244827,-11392.552528592649,-13296.156799587277,7394.176403350707,0.00013524156653158087,971.2834833189156,0.0010295655358855264,-0.0008943239693539455,2.7939677238464355e-09,2.3699950151637434e-05,2.9254627103575917e-05,1.0164733426790791e-05,1.2343750478966602,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,27523.626553649392,28178.313810975178,31427.938380654195,801.6456733847535,1
0.07345,390.87,2177000.0,Liquid,51298,7401.458156065394,-26.68413522463049,-19.79850590512834,-2.381212931537104 m^-2 kg^-1 s^2 mol K,-1.0212846240872537 m^-2 kg^-1 s^2 mol K,-13568.558634632282,-16524.301407005878,-8785.659403868363,-5829.916631494768,0.00013510851225721158,242.26798393312515,157.1328211466649,-2.6319607887979055,-19.768014243980552,-17.136053455182648,-11388.855466345722,-13291.97685790478,7392.988723868311,0.00013526329301321585,971.9294997605587,0.00102888121025893,-0.0008936179172457141,3.91155481338501e-08,2.3701556024918398e-05,2.925574984174545e-05,1.0165422173970164e-05,1.2343387839594882,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,5589.314590077791,2366.061058902575,5615.935062460133,385.9682549017701,1
0.09628,390.91,25180000.0,Liquid,51298,9045.257697957151,-34.81927957644679,-26.281207930517716,-3.1609027711709343 m^-2 kg^-1 s^2 mol K,-1.3556878327331414 m^-2 kg^-1 s^2 mol K,-16503.330503694273,-16969.757912092227,-6696.170919973547,-6229.7435115755925,0.00011055516972455605,193.75566615287715,160.01397354895315,-2.6339087071914604,-19.761371026935198,-17.12746231974374,-11383.92349257877,-13286.400423896233,7391.404326677023,0.00013529228760910894,972.7916114517625,0.0010279693905950037,-0.0008926771029858948,7.450580596923828e-08,2.3703697118358295e-05,2.925724675895078e-05,1.0166340473119281e-05,1.234290440552892,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,23262.443305577348,22396.524088661616,25646.730670723897,730.9543338016138,1
0.09104,391.01,18140000.0,Liquid,51298,8735.805094290134,-33.18328122703561,-24.97247848442347,-3.0034987985754165 m^-2 kg^-1 s^2 mol K,-1.2881784324384415 m^-2 kg^-1 s^2 mol K,-15962.638374139711,-17137.164872707213,-7372.6760605127965,-6198.149561945291,0.00011447141839893114,197.8496447235903,159.43602527233372,-2.638785959668302,-19.744755701670908,-17.105969742002607,-11371.58074429397,-13272.443414913414,7387.4392022578595,0.00013536490421394806,974.9506810442886,0.0010256929088237373,-0.0008903280046097892,-8.242204785346985e-08,2.370904949731286e-05,2.9260988716933383e-05,1.0168636068887383e-05,1.2341696245667617,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,18941.40463025079,17016.68148832463,20267.719516648733,657.8135871246676,1
0.087,391.12,13260000.0,Liquid,51298,8465.730328705175,-31.7699298155351,-23.861852008541675,-2.8699211367483097 m^-2 kg^-1 s^2 mol K,-1.230887960704992 m^-2 kg^-1 s^2 mol K,-15483.116634498158,-17168.754300936645,-7835.906743355824,-6150.269076917336,0.00011812329960585326,202.47452873694496,158.96076081530342,-2.6441632797830303,-19.7264667797058,-17.08230349992277,-11357.98251329309,-13257.0643530089,7383.070727319899,0.0001354449980141266,977.3319316454904,0.0010231938276245047,-0.0008877488296103781,-7.310882210731506e-08,2.3714936529066985e-05,2.926510431809028e-05,1.017116097328899e-05,1.2340367971139434,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,15524.33840181016,13026.807146792664,16278.759766004758,597.2784946542339,1
0.08275,391.18,9150000.0,Liquid,51298,8179.446097985795,-30.318567782249495,-22.71922284617356,-2.7324944364497994 m^-2 kg^-1 s^2 mol K,-1.171946664823772 m^-2 kg^-1 s^2 mol K,-14970.169831291545,-17103.963662181395,-8216.65806921522,-6082.86423832537,0.00012225766733107418,208.87877010907857,158.46693764293477,-2.6471018321427486,-19.71648565415656,-17.069383822013812,-11350.5559007178,-13248.664100708183,7380.684893241592,0.00013548878111781853,978.6335755269716,0.0010218329158199206,-0.0008863441347021021,-6.426125764846802e-08,2.3718147378975125e-05,2.9267348947517036e-05,1.0172538083079553e-05,1.2339643767228203,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,12297.255293191749,9429.558185040687,12682.009672009872,536.2877133224277,1
0.1143,391.18,55370000.0,Liquid,51298,9901.77223379565,-39.274534062954864,-30.08638411489521,-3.6185602722185095 m^-2 kg^-1 s^2 mol K,-1.5519737518661156 m^-2 kg^-1 s^2 mol K,-17918.531378705728,-15579.054603477869,-3809.862865413162,-6149.3396406410175,0.0001009920220732718,186.7840125191896,161.8996307364699,-2.6471018321427486,-19.71648565415656,-17.069383822013812,-11350.5559007178,-13248.664100708183,7380.684893241592,0.00013548878111781853,978.6335755269716,0.0010218329158199206,-0.0008863441347021021,-6.426125764846802e-08,2.3718147378975125e-05,2.9267348947517036e-05,1.0172538083079553e-05,1.2339643767228203,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,36367.644453868015,42729.375319760555,45981.82680672975,955.3577276029844,1
0.1202999999999999,391.21,67340000.0,Liquid,51298,10142.730641855605,-40.587229454741156,-31.21052032528624,-3.753762781631044 m^-2 kg^-1 s^2 mol K,-1.6099611087178614 m^-2 kg^-1 s^2 mol K,-18289.756742696034,-14903.219929859824,-2693.352273404596,-6079.8890862408025,9.859277893798536e-05,185.58052839639905,162.4615647595315,-2.64857255960796,-19.71149367071584,-17.06292111110788,-11346.84010120821,-13244.460877313812,7379.491172258086,0.00013551069804911835,979.2851352107709,0.0010211530473040117,-0.0008856423492548934,1.955777406692505e-08,2.3719752735556386e-05,2.9268471197676802e-05,1.0173226608650243e-05,1.2339281747150244,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,39817.82298485497,50116.77613765766,53369.477058505385,1024.149483108162,1
0.1078,391.23,43520000.0,Liquid,51298,9619.490858542362,-37.724386386170096,-28.79562667686515,-3.463317835357719 m^-2 kg^-1 s^2 mol K,-1.485391418269675 m^-2 kg^-1 s^2 mol K,-17465.33839162184,-16194.05763589138,-4928.344611101429,-6199.6253668318905,0.00010395560583250346,188.57054986308174,161.2866223105085,-2.649553582853914,-19.70816515466162,-17.058611571807706,-11344.361976865988,-13241.657579762697,7378.695060103117,0.00013552531875277483,979.7197819562546,0.0010207000189413865,-0.0008851747001886116,-8.288770914077759e-08,2.372082294795527e-05,2.9269219340544595e-05,1.0173685614836969e-05,1.233904043074846,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,32038.689981824402,35078.091559449866,38330.958769549965,878.0891084916128,1
0.07898,391.27,6073000.0,Liquid,51298,7901.520353290853,-28.919741389800436,-21.64186925277944,-2.602918582558545 m^-2 kg^-1 s^2 mol K,-1.1163725389321022 m^-2 kg^-1 s^2 mol K,-14468.599035949417,-16953.212561599074,-8485.39837906406,-6000.784853414404,0.00012655792243622033,217.23498663819927,158.01915474212362,-2.6515169226799413,-19.701506855715955,-17.049989933036013,-11339.403506508332,-13236.048225028162,7377.102119390378,0.00013555458279092348,980.5897328996227,0.0010197944833085094,-0.0008842399005175859,-8.847564458847046e-09,2.3722963311982867e-05,2.9270715568913865e-05,1.0174603601146544e-05,1.2338557870689255,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,9570.427132891307,6498.810057304162,9752.00984590898,480.26736109000746,1
0.1013,391.32,33230000.0,Liquid,51298,9322.1061746827,-36.102577757009236,-27.468961962320826,-3.303756745787387 m^-2 kg^-1 s^2 mol K,-1.4169568464501787 m^-2 kg^-1 s^2 mol K,-16970.59735904035,-16659.567781209586,-5910.413586114203,-6221.443163944964,0.00010727189556324029,190.97330474324866,160.67749673756074,-2.6539735258818995,-19.69318160255237,-17.039208076670473,-11333.201247258181,-13229.031350546886,7375.109598396722,0.00013559120534525893,981.6784060412975,0.001018663539755943,-0.0008830723344106841,3.213062882423401e-08,2.372563865307915e-05,2.9272585746828727e-05,1.0175751035166254e-05,1.2337954806974052,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,27428.637815370854,28080.429862929603,31334.04537466533,800.46625114704,1
0.0756,391.39,3589000.0,Liquid,51298,7601.667379611147,-27.42620024631521,-20.51538864833541,-2.4674341073521076 m^-2 kg^-1 s^2 mol K,-1.058264249035681 m^-2 kg^-1 s^2 mol K,-13925.608416866728,-16707.672681166132,-8678.154718094136,-5896.090453794729,0.00013155008632476545,229.9116820643814,157.56831396360468,-2.657417312720823,-19.681521795096835,-17.02410448237601,-11324.51028245047,-13219.198036571866,7372.317553117534,0.00013564255646816647,983.2048575047619,0.0010170820377534157,-0.0008814394812852492,9.033828973770142e-08,2.372938391794504e-05,2.927520379519666e-05,1.017735735158173e-05,1.233711077220916,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,7067.283813138663,3881.5854545975817,7135.782978716579,423.24601815473346,1
0.09622,391.42,25170000.0,Liquid,51298,9036.39899487491,-34.56452732782569,-26.227550129712835,-3.1544492211017174 m^-2 kg^-1 s^2 mol K,-1.3529199528139717 m^-2 kg^-1 s^2 mol K,-16481.883137857836,-16950.928520042333,-6684.940848270136,-6215.895466085639,0.0001106635508864937,193.91317814222938,160.12136002823232,-2.6588948467616667,-19.676523140589055,-17.01762829382739,-11320.782791689955,-13214.980292373682,7371.1200620632835,0.00013566459256940736,983.8598772452992,0.0010164048998520922,-0.0008807403072826848,-2.3283064365386963e-08,2.3730988955511102e-05,2.927632574425635e-05,1.0178045740329159e-05,1.2336749133860871,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,23156.077563676172,22285.58770766058,25540.03466565812,729.4839770305113,1
0.07323,391.45,2177000.0,Liquid,51298,7374.5249167538595,-26.323923845118237,-19.688036526969313,-2.367926519265812 m^-2 kg^-1 s^2 mol K,-1.0155861800790584 m^-2 kg^-1 s^2 mol K,-13514.565226500632,-16474.056161133758,-8767.174262651617,-5807.683328018495,0.00013560195555487837,243.60366477352426,157.23762965900872,-2.6603733576697564,-19.67152352759716,-17.011150169927404,-11317.053623294662,-13210.760464889063,7369.922029996369,0.00013568664579216623,984.5153935686598,0.001015728150654112,-0.0008800415048619458,-1.019798219203949e-07,2.3732593947511168e-05,2.927744765032152e-05,1.0178734109533668e-05,1.2336387549997179,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,5455.2359165347625,2227.315067287952,5482.011459164037,382.2606756298391,1
0.09097,391.55,18140000.0,Liquid,51298,8725.410384484236,-32.91010160351315,-24.913478919987107,-2.99640278201416 m^-2 kg^-1 s^2 mol K,-1.2851350033900357 m^-2 kg^-1 s^2 mol K,-15938.15342798715,-17114.695957622327,-7359.823286501374,-6183.280756866201,0.00011460778988438497,198.03823371275013,159.5493015615453,-2.6653087970569427,-19.654851210892033,-16.98954241383509,-11304.610921636995,-13196.679298609539,7365.924674605435,0.00013576028050457444,986.7040418073424,0.0010134751228628835,-0.0008777148423583091,-9.96515154838562e-08,2.3737943591781333e-05,2.9281187026752924e-05,1.0181028532415845e-05,1.2335182663796875,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,18834.85325241211,16906.968772852397,20162.496610990296,656.1833570148895,1
0.1143,391.66,55370000.0,Liquid,51298,9896.1815787775,-39.045408792927674,-30.043519693314128,-3.6134048672874086 m^-2 kg^-1 s^2 mol K,-1.5497626368006192 m^-2 kg^-1 s^2 mol K,-17903.074423560618,-15564.429539441222,-3797.5846163578094,-6136.229500477207,0.0001010490755489485,186.90019529126795,162.0027677076691,-2.6707503816095866,-19.636499283252263,-16.965748901642677,-11290.902312896911,-13181.163152361885,7361.520605704853,0.00013584149981527515,989.1179606198926,0.001011001760976302,-0.0008751602611610269,-4.190951585769653e-08,2.3743827615822885e-05,2.928529978934632e-05,1.0183552146831763e-05,1.2333857987509393,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,36273.21186513739,42630.021542976996,45886.4639720029,954.3593779467485,1
0.12,391.67,67330000.0,Liquid,51298,10137.633375302692,-40.368043002726445,-31.16951081172534,-3.7488304708559177 m^-2 kg^-1 s^2 mol K,-1.6078456770867202 m^-2 kg^-1 s^2 mol K,-18275.4059555262,-14890.341968045659,-2682.179668417197,-6067.243655897739,9.864235201444556e-05,185.6891153355471,162.55993857251394,-2.671245727584556,-19.634830280855052,-16.963584553270497,-11289.65494866162,-13179.751194442018,7361.119872308189,0.00013584889491637025,989.3377414971588,0.0010107771674481012,-0.000874928272531731,-7.450580596923828e-08,2.3744362496730744e-05,2.9285673648214486e-05,1.0183781553299231e-05,1.2333737598660188,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,39725.85739693777,50014.661316607366,53271.18689025944,1023.1955337105471,1
0.08674,391.68,13260000.0,Liquid,51298,8453.320591348363,-31.48006779873464,-23.796015837288376,-2.8620028653846794 m^-2 kg^-1 s^2 mol K,-1.227491872650067 m^-2 kg^-1 s^2 mol K,-15454.873873843027,-17142.86824031603,-7822.44475716692,-6134.450390693917,0.00011829670828093993,202.711244345982,159.07665570546195,-2.6717411831551274,-19.633161170678033,-16.961419987522905,-11288.407396275688,-13178.339002964332,7360.7190782294965,0.00013585629194267986,989.5575780866773,0.0010105526167901349,-0.000874696324847455,8.66129994392395e-08,2.3744897372577466e-05,2.9286047502310056e-05,1.0184010957596016e-05,1.2333617215853694,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,15413.317077112046,12912.264582361398,16168.873300639661,595.3900349451953,1
0.1077,391.74,43510000.0,Liquid,51298,9612.61077656954,-37.47724034458811,-28.747333551146557,-3.457509507395169 m^-2 kg^-1 s^2 mol K,-1.4829002693424855 m^-2 kg^-1 s^2 mol K,-17447.34120440079,-16178.103033666848,-4916.622588340699,-6185.860759074637,0.00010403001049802943,188.7020336779561,161.39546331379807,-2.674716220471761,-19.6231442433447,-16.94842802287294,-11280.918126848119,-13169.860944679705,7358.313038147496,0.0001359007145816885,990.8777687936124,0.0010092062124044763,-0.0008733054978227878,4.0046870708465576e-08,2.3748106521377755e-05,2.9288290526669208e-05,1.0185387337793997e-05,1.2332895045886816,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,31933.85424197643,34966.93062089931,38224.03820693466,876.8734103138822,1
0.08253,391.76,9153000.0,Liquid,51298,8164.531220423697,-30.010030983695053,-22.64524440017537,-2.7235968745271957 m^-2 kg^-1 s^2 mol K,-1.168130566287152 m^-2 kg^-1 s^2 mol K,-14937.312847949646,-17073.518072399995,-8202.017126187293,-6065.8119017369445,0.00012248100631895252,209.19850688966125,158.58501533300702,-2.6757087782743936,-19.619804402983643,-16.94409562470925,-11278.420195302395,-13167.033052978459,7357.510538288002,0.00013591553757158289,991.3182790427853,0.0010087577533278188,-0.000872842215756236,-9.778887033462524e-09,2.374917619715856e-05,2.928903816328311e-05,1.0185846113829196e-05,1.2332654370886078,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,12183.084239979462,9311.652933664951,12568.926808952665,534.1008923245389,1
0.1005,391.86,33230000.0,Liquid,51298,9314.190818076288,-35.83912528854061,-27.41680860030394,-3.2974841381142204 m^-2 kg^-1 s^2 mol K,-1.4142665713871245 m^-2 kg^-1 s^2 mol K,-16950.438213169575,-16640.86914957448,-5897.318531459378,-6206.887595054471,0.00010736305703113517,191.12057540118764,160.79285761280397,-2.6806781729159304,-19.60309869812241,-16.92242052520648,-11265.919199065818,-13152.879522059964,7353.4943819414975,0.000135989768681373,993.5241882173738,0.0010065180212615109,-0.0008705282525801379,6.891787052154541e-08,2.3754524272442926e-05,2.9292776060124814e-05,1.0188139863784962e-05,1.23314513581342,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,27322.078356875892,27970.63020636084,31228.735527910365,799.141223320438,1
