,temperature,pressure,state,D,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0,303.15,100000.0,L,6.720000000000001e-10,13029.84406121449,-129.89176096044181,-83.2952729350119,-10.01811863982052 m^-2 kg^-1 s^2 mol K,-3.339706850625236 m^-2 kg^-1 s^2 mol K,-45579.56010431553,-48092.41475807693,-22841.45276782807,-20328.598114066677,7.674688931824344e-05,-0.05451671040981062,-83.28825996264615,-83.23374325223634,-45555.540531631676,-48070.624860547454,13028.747127109777,7.675335089735787e-05,1.512846795047588,0.6610054655062042,-0.6609287121553068,-3.4667573345359415e-07,2.4335123149309567e-05,3.406723674536569e-05,8.112518968333356e-06,1.3999204580286764,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
1,288.15,100000.0,L,4.55e-10,13231.89612184949,-138.8245789992061,-87.76080067938105,-10.55519817814443 m^-2 kg^-1 s^2 mol K,-3.518751267841594 m^-2 kg^-1 s^2 mol K,-46937.39901800242,-49325.653925575425,-24037.37920981178,-21649.12430223877,7.557495847845462e-05,-0.031426757466369054,-87.75393697668974,-87.72251021922338,-46923.81169253544,-49317.15532818561,13230.847431743763,7.558094862470988e-05,0.5805191942050014,1.7225959278908276,-1.7225203469422028,-1.4961756278353278e-07,2.3167895398319475e-05,3.321371343309521e-05,7.72340413985381e-06,1.4336094350419257,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
2,293.15,100000.0,L,5.36e-10,13164.959850724203,-135.83295843701092,-86.26260735950066,-10.375006939253135 m^-2 kg^-1 s^2 mol K,-3.458681514569169 m^-2 kg^-1 s^2 mol K,-46489.735579630564,-48919.524374761946,-23631.64102732433,-21201.85223219294,7.5959213802311e-05,-0.038065372902140224,-86.25568626233392,-86.21762088943179,-46473.256253259206,-48907.39765517759,13163.893561718203,7.596536657726333e-05,0.8100226435498572,1.2345333898538722,-1.234457424487295,1.1365998489054618e-06,2.3559251573380518e-05,3.3500637503866165e-05,7.853869244717979e-06,1.4219737583564993,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
3,298.15,100000.0,L,6.27e-10,13097.633499449174,-132.8554737842579,-84.77414846716101,-10.19598648288716 m^-2 kg^-1 s^2 mol K,-3.3990020611685035 m^-2 kg^-1 s^2 mol K,-46037.112091068,-48508.43415363575,-23233.021788151695,-20761.69972558394,7.634967034633054e-05,-0.04572938999741163,-84.76717601297311,-84.7214466229757,-46017.18233898012,-48491.91803432012,13096.550878355583,7.635598176102081e-05,1.1144184837398217,0.8973289788268314,-0.8972526228450703,-1.1717384040821344e-07,2.394833331641439e-05,3.378512492673542e-05,7.983576129751106e-06,1.4107505720900757,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
4,303.15,100000.0,L,7.2e-10,13029.84406121449,-129.89176096044181,-83.2952729350119,-10.01811863982052 m^-2 kg^-1 s^2 mol K,-3.339706850625236 m^-2 kg^-1 s^2 mol K,-45579.56010431553,-48092.41475807693,-22841.45276782807,-20328.598114066677,7.674688931824344e-05,-0.05451671040981062,-83.28825996264615,-83.23374325223634,-45555.540531631676,-48070.624860547454,13028.747127109777,7.675335089735787e-05,1.512846795047588,0.6610054655062042,-0.6609287121553068,-3.4667573345359415e-07,2.4335123149309567e-05,3.406723674536569e-05,8.112518968333356e-06,1.3999204580286764,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
