,temperature,pressure,state,D,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0,329.75,10000000.0,L,4.21e-09,6582.067269374637,-72.9173378443828,-52.638409548011914,-6.330945482042909 m^-2 kg^-1 s^2 mol K,-1.8176180649544686 m^-2 kg^-1 s^2 mol K,-32731.565835997724,-33953.98036458036,-16596.464816123436,-15374.050287540796,0.00015192795197533892,290.3882109562581,254.61779993775977,-0.09045602107783175,-50.904612702767224,-50.81415668168939,-32049.2083112253,-34748.427317253954,6444.889177596512,0.00015516170603463027,9.102136617461758,0.10986431450408862,-0.10970915279805399,-8.849019650369883e-08,2.463268069548334e-05,3.351872924012596e-05,7.072056701066102e-06,1.3607422454135074,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
1,353.35,10000000.0,L,5.76e-09,6398.019726054573,-52.5186648519333,-48.52613747005215,-5.836352834650243 m^-2 kg^-1 s^2 mol K,-1.675620233312349 m^-2 kg^-1 s^2 mol K,-31290.969162754358,-32665.900913921043,-15519.190238878116,-14144.258487711431,0.0001562983614957786,300.03577960762965,263.101432795424,-0.18128253712951675,-46.64881265379166,-46.46753011666214,-30428.01765227748,-33276.167998624114,6239.130889853732,0.00016027873395415234,20.10361872879688,0.0497422883656054,-0.04958200963165125,-1.1947122402489185e-08,2.6271675235861636e-05,3.469746058087575e-05,7.542612970015686e-06,1.3207174749752029,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
2,368.95,10000000.0,L,6.56e-09,6273.79694231233,-39.413013277362275,-46.013450271131504,-5.534146027750347 m^-2 kg^-1 s^2 mol K,-1.5888564863915324 m^-2 kg^-1 s^2 mol K,-30355.76737665811,-31829.45726941832,-14852.794791884353,-13379.104899124144,0.00015939310902074406,306.7747840028566,268.79357687603647,-0.27040556008403716,-44.01761144120934,-43.7472058811253,-29330.946106661315,-32260.467321149725,6097.5211664050275,0.00016400107071536078,31.841551509336806,0.03140550483875677,-0.031241503768041412,-1.1757947504520416e-07,2.733323583786069e-05,3.545511517913491e-05,7.847387625351179e-06,1.2971429870013482,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
